小王子,[法] 圣埃克苏佩里, 人民文学出版社,9,209602
围城,钱锺书, 人民文学出版社,8.9,178288 
挪威的森林,[日] 村上春树, 上海译文出版社,8,177622 
白夜行,[日] 东野圭吾, 南海出版公司,9.1,170493 
解忧杂货店,(日)东野圭吾, 南海出版公司,8.6,160063 
梦里花落知多少,郭敬明, 春风文艺出版社,7.2,142386 
不能承受的生命之轻,[捷克] 米兰·昆德拉, 上海译文出版社,8.5,129324 
三体,刘慈欣, 重庆出版社,8.8,122959 
达·芬奇密码,[美] 丹·布朗, 上海人民出版社,8.2,122803 
活着,余华, 南海出版公司,9.1,118521 
嫌疑人X的献身,[日] 东野圭吾, 南海出版公司,8.9,117699 
1988：我想和这个世界谈谈,韩寒, 国际文化出版公司,7.9,116378 
何以笙箫默,顾漫, 朝华出版社,8,113566 
红楼梦,[清] 曹雪芹 著, 人民文学出版社,9.5,111576 
看见,柴静, 广西师范大学出版社,8.8,107152 
简爱,[英] 夏洛蒂·勃朗特, 世界图书出版公司,8.5,100953 
平凡的世界（全三部）,路遥, 人民文学出版社,9,92968 
三重门,韩寒, 作家出版社,7.4,92705 
百年孤独,[哥伦比亚] 加西亚·马尔克斯, 南海出版公司,9.2,91384 
杜拉拉升职记,李可, 陕西师范大学出版社,7.8,88287 
幻城,郭敬明, 春风文艺出版社,7.1,87053 
天才在左 疯子在右,高铭, 武汉大学出版社,8.3,83638 
倾城之恋,张爱玲, 花城出版社,8.5,82468 
送你一颗子弹,刘瑜, 上海三联书店,8.6,81993 
哈利·波特与魔法石,[英] J. K. 罗琳, 人民文学出版社,9,81795 
悲伤逆流成河,郭敬明, 长江文艺出版社,6.3,80854 
傲慢与偏见,[英] 奥斯丁, 人民文学出版社,8.8,79653 
致我们终将逝去的青春,辛夷坞, 朝华出版社,7.9,78468 
情人,[法] 玛格丽特·杜拉斯, 上海译文出版社,8.1,78376 
明朝那些事儿（壹）,当年明月, 中国友谊出版公司,8.8,76927 
莲花,安妮宝贝, 作家出版社,8,76408 
1Q84 BOOK 1,[日] 村上春树, 南海出版公司,8.3,73279 
微微一笑很倾城,顾漫, 江苏文艺出版社,8.1,73279 
三体Ⅱ,刘慈欣, 重庆出版社,9.2,73112 
目送,龙应台, 生活·读书·新知三联书店,8.7,72805 
飘（上下）,[美国] 玛格丽特·米切尔, 译林出版社,9.3,72783 
三体Ⅲ,刘慈欣, 重庆出版社,9.2,72624 
狼图腾,姜戎, 长江文艺出版社,8.3,72350 
长安乱,韩寒, 中国青年出版社,7.4,71443 
哈利·波特与阿兹卡班的囚徒,[英] J. K. 罗琳, 人民文学出版社,8.9,69633 
向左走·向右走,幾米, 生活·读书·新知三联书店,8.4,69058 
哈利·波特与火焰杯,[英] J. K. 罗琳, 人民文学出版社,8.9,67587 
哈利·波特与密室,[英] J. K. 罗琳, 人民文学出版社,8.8,67378 
我们仨,杨绛, 生活·读书·新知三联书店,8.6,67224 
一个人的好天气,[日] 青山七惠, 上海译文出版社,7.6,66937 
1995-2005夏至未至,郭敬明, 春风文艺出版社,7.4,66534 
从你的全世界路过,张嘉佳, 湖南文艺出版社,7.2,65236 
放学后,[日]东野圭吾, 南海出版公司,7.6,64452 
穆斯林的葬礼,霍达, 北京十月文艺出版社,8.3,64072 
边城,沈从文, 北岳文艺出版社,8.6,63184 
月亮和六便士,[英] 毛姆, 上海译文出版社,8.9,60354 
文化苦旅,余秋雨, 东方出版中心,7.8,60244 
